ID;Fecha inicio;Fecha fin;Transecto/Parcela;Observador/a 1;Observador/a 2;Viento;Temperatura;Nubes;Observaciones;longitud
53;2009-08-18 10:10:00;2009-08-18 11:00:00;Borreguiles San Juan;Irene Ballesta Artero;Libertad Cobos;Fuerza 2 en la escala Beaufort: 6-11 km/h;;25-50% de nubosidad;0;
54;2009-08-21 10:40:00;2009-08-21 11:40:00;Loma de Papeles Alto;Irene Ballesta Artero;Libertad Cobos;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
55;2009-08-20 11:25:00;2009-08-20 12:30:00;Laguna Seca;Irene Ballesta Artero;Libertad Cobos;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
56;2009-08-19 10:10:00;2009-08-19 10:50:00;Altas cumbres;Irene Ballesta Artero;Libertad Cobos;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
57;2010-05-25 11:45:00;2010-05-25 13:00:00;Purche;José Miguel Barea Azcón (jmbarea);Irene Ballesta Artero;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
58;2010-06-22 12:50:00;2010-06-22 13:30:00;Purche;José Miguel Barea Azcón (jmbarea);Irene Ballesta Artero;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
59;2010-07-14 10:30:00;2010-07-14 11:45:00;Purche;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
60;2010-07-22 12:15:00;2010-07-22 00:00:00;Purche;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
61;2010-06-21 10:50:00;2010-06-21 00:00:00;Campos de Otero;José Miguel Barea Azcón (jmbarea);Irene Ballesta Artero;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
62;2010-06-29 10:15:00;2010-06-29 12:25:00;Campos de Otero;Javier Martín Jaramillo;Elena Ballesteros Duperón;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
63;2010-07-27 10:10:00;2010-07-27 11:30:00;Campos de Otero;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
64;2010-05-20 13:13:00;2010-05-20 14:15:00;Robledal de Dilar;José Miguel Barea Azcón (jmbarea);Irene Ballesta Artero;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
65;2010-06-23 09:40:00;2010-06-23 11:10:00;Robledal de Dilar;Javier Martín Jaramillo;Irene Ballesta Artero;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
66;2010-06-30 11:35:00;2010-06-30 00:00:00;Robledal de Dilar;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
67;2010-07-28 11:45:00;2010-07-28 12:50:00;Robledal de Dilar;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
68;2010-07-06 17:47:00;2010-07-06 19:00:00;Robledal de Cáñar;José Miguel Barea Azcón (jmbarea);Javier Martín Jaramillo;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
69;2010-07-12 17:00:00;2010-07-12 19:00:00;Robledal de Cáñar;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
70;2010-07-15 10:20:00;2010-07-15 11:47:00;Robledal de Cáñar;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
71;2010-07-08 11:05:00;2010-07-08 12:50:00;Laguna Seca;Andrés López Martínez;Javier Martín Jaramillo;Fuerza 2 en la escala Beaufort: 6-11 km/h;;50-75% de nubosidad;0;
72;2010-06-08 12:00:00;2010-06-08 13:20:00;Loma de Papeles Bajo;José Miguel Barea Azcón (jmbarea);Irene Ballesta Artero;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
73;2010-07-13 13:00:00;2010-07-13 14:00:00;Loma de Papeles Bajo;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
74;2010-07-13 11:30:00;2010-07-13 13:00:00;Loma de Papeles Alto;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
75;2010-06-01 10:40:00;2010-06-01 11:45:00;Robledal de Cáñar;Irene Ballesta Artero;Javier Martín Jaramillo;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
76;2010-08-05 10:42:00;2010-08-05 11:26:00;Robledal de Cáñar;José Miguel Barea Azcón (jmbarea);Vanesa Gamez Garcia;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
77;2010-08-03 12:25:00;2010-08-03 00:00:00;Loma de Papeles Bajo;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
78;2010-08-03 10:30:00;2010-08-03 12:25:00;Loma de Papeles Alto;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
79;2010-07-07 09:40:00;2010-07-07 11:10:00;Borreguiles San Juan;Fran C. Parody;Javier Martín Jaramillo;Fuerza 1 en la escala Beaufort: 2-5 km/h;;25-50% de nubosidad;0;
80;2010-07-21 18:20:00;2010-07-21 19:25:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
81;2010-08-02 11:07:00;2010-08-02 12:15:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
82;2010-06-23 12:55:00;2010-06-23 00:00:00;Matas Verdes;Irene Ballesta Artero;Javier Martín Jaramillo;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
83;2010-06-30 11:45:00;2010-06-30 13:00:00;Matas Verdes;Francisco Javier Olivares Villegas (javioli);Javier Martín Jaramillo;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
84;2010-07-27 12:51:00;2010-07-27 14:10:00;Matas Verdes;José Miguel Barea Azcón (jmbarea);David Garcia Ocaña;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
85;2010-05-28 12:19:59;2010-05-28 00:00:00;Matas Verdes;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
86;2010-07-19 11:00:00;2010-07-19 12:10:00;Laguna Seca;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
87;2008-08-11 12:00:00;2008-08-11 13:00:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
88;2010-08-12 11:00:00;2010-08-12 12:13:00;Campos de Otero;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
89;2014-10-03 13:51:00;2014-10-03 14:05:00;Carihuela;Mariano Guerrero Serrano (mguerreros);Desconocido;Fuerza del viento no definida;;25-50% de nubosidad;35% sol y 65% nubes;
90;2017-10-04 12:57:00;2017-10-04 13:05:00;Catifas;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0% de nubosidad;100% sol y 0% nubes;
91;2013-07-25 00:00:00;2013-07-25 00:00:00;Carihuela;Rogelio López Sanjuan (rogerlosan);Desconocido;Fuerza del viento no definida;;porcentaje de nubosidad no definido;0;
92;2012-08-29 09:00:00;2012-08-29 10:10:00;Purche;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
93;2012-08-28 10:00:00;2012-08-28 11:00:00;Matas Verdes;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
94;2012-08-27 09:47:00;2012-08-27 10:55:00;Robledal de Dilar;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
95;2012-08-24 10:45:00;2012-08-24 11:40:00;Altas cumbres;José Miguel Barea Azcón (jmbarea);Javier Martín Jaramillo;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
96;2012-08-22 10:44:00;2012-08-22 11:20:00;Campos de Otero;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
97;2012-08-22 09:53:00;2012-08-22 10:40:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
98;2012-08-17 09:47:00;2012-08-17 10:36:00;Altas cumbres;Javier Martín Jaramillo;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0-25% de nubosidad;0;
99;2012-08-14 10:40:00;2012-08-14 11:50:00;Loma de Papeles Bajo;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
100;2012-08-14 09:35:00;2012-08-14 10:30:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
101;2012-08-13 10:30:00;2012-08-13 11:19:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
102;2012-08-10 10:26:00;2012-08-10 11:38:00;Purche;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
103;2012-08-09 07:57:00;2012-08-09 12:41:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
104;2012-08-09 09:32:00;2012-08-09 10:33:00;Campos de Otero;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
105;2012-08-08 09:45:00;2012-08-08 11:15:00;Robledal de Dilar;Javier Martín Jaramillo;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0-25% de nubosidad;0;
106;2012-07-27 10:34:00;2012-07-27 11:20:00;Loma de Papeles Bajo;Javier Martín Jaramillo;Desconocido;Fuerza del viento no definida;;porcentaje de nubosidad no definido;0;
107;2012-07-27 09:35:00;2012-07-27 10:25:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza del viento no definida;;porcentaje de nubosidad no definido;0;
108;2012-08-01 10:30:00;2012-08-01 10:40:00;Altas cumbres;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
109;2012-08-21 12:10:00;2012-08-21 13:08:00;Loma de Papeles Bajo;Javier Martín Jaramillo;Desconocido;Fuerza del viento no definida;;porcentaje de nubosidad no definido;0;
110;2012-08-21 11:11:00;2012-08-21 12:00:00;Loma de Papeles Alto;Javier Martín Jaramillo;Rogelio López Sanjuan (rogerlosan);Fuerza del viento no definida;;porcentaje de nubosidad no definido;0;
111;2012-08-07 10:30:00;2012-08-07 12:00:00;Matas Verdes;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
112;2012-07-27 12:20:00;2012-07-27 13:20:00;Campos de Otero;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
113;2012-07-25 10:17:00;2012-07-25 11:24:00;Robledal de Dilar;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
114;2012-07-23 11:07:00;2012-07-23 11:55:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
115;2012-07-11 10:30:00;2012-07-11 12:25:00;Loma de Papeles Bajo;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
116;2013-08-26 11:00:00;2013-08-26 11:10:00;Carihuela;Rogelio López Sanjuan (rogerlosan);Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;25-50% de nubosidad;70% sol y 30% nubes;
117;2012-07-18 10:00:00;2012-07-18 11:07:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
118;2012-07-17 10:30:00;2012-07-17 11:10:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
119;2012-07-10 11:50:00;2012-07-10 12:46:00;Altas cumbres;Javier Martín Jaramillo;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
120;2012-07-06 10:00:00;2012-07-06 11:40:00;Purche;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
121;2012-07-05 11:00:00;2012-07-05 12:00:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
122;2012-07-04 10:40:00;2012-07-04 12:10:00;Matas Verdes;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
123;2012-07-26 12:44:00;2012-07-26 14:00:00;Purche;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
124;2012-07-26 10:40:00;2012-07-26 11:53:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
125;2012-07-25 10:30:00;2012-07-25 11:45:00;Matas Verdes;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0-25% de nubosidad;0;
126;2012-07-20 10:45:00;2012-07-20 11:55:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Javier Martín Jaramillo;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
127;2012-06-29 11:11:00;2012-06-29 12:50:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0% de nubosidad;0;
128;2012-07-10 10:20:00;2012-07-10 11:45:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
129;2012-07-03 10:05:00;2012-07-03 11:52:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
130;2012-07-04 16:14:00;2012-07-04 17:32:00;Campos de Otero;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
131;2012-06-22 11:13:00;2012-06-22 13:34:00;Robledal de Dilar;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
132;2012-06-27 12:00:00;2012-06-27 12:57:00;Altas cumbres;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;75-100% de nubosidad;0;
133;2012-06-22 11:15:00;2012-06-22 12:23:00;Matas Verdes;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
134;2012-06-20 10:45:00;2012-06-20 12:10:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
135;2012-06-18 12:20:00;2012-06-18 13:45:00;Loma de Papeles Bajo;Javier Martín Jaramillo;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;50-75% de nubosidad;0;
136;2012-06-14 10:30:00;2012-06-14 11:40:00;Altas cumbres;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
137;2012-06-14 12:00:00;2012-06-14 13:06:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
138;2012-06-13 10:35:00;2012-06-13 12:00:00;Robledal de Dilar;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
